c,e,mse
0.001,0.001,0.06573255717701491
0.001,0.002,0.06570393804804482
0.001,0.003,0.06565226168702042
0.001,0.004,0.06565693645802322
0.001,0.005,0.06561210531973183
0.001,0.006,0.06558514784223232
0.001,0.007,0.06559969925512371
0.001,0.008,0.06560187412956381
0.001,0.009,0.06559342390297139
0.001,0.01,0.06558110654708874
0.001,0.011,0.06553960273452974
0.001,0.012,0.06551045455164423
0.001,0.013,0.06554541158316245
0.001,0.014,0.0655470553269029
0.001,0.015,0.0655485468020224
0.001,0.016,0.06554811965701204
0.001,0.017,0.06553311288983822
0.001,0.018,0.06553316967320919
0.001,0.019,0.06555418604356662
0.001,0.02,0.0655257535865822
0.001,0.021,0.06550798187245542
0.001,0.022,0.06551965429133297
0.001,0.023,0.06551124192655729
0.001,0.024,0.06551796662070265
0.001,0.025,0.06553126322852348
0.001,0.026,0.065533244965949
0.001,0.027,0.06552210784023835
0.001,0.028,0.06552912099313422
0.001,0.029,0.06548853898043755
0.001,0.03,0.06546265131321757
0.001,0.031,0.06543282920405838
0.001,0.032,0.06543198858367642
0.001,0.033,0.06542959750933815
0.001,0.034,0.06540854621385411
0.001,0.035,0.06539652901017867
0.001,0.036,0.06537330097458541
0.001,0.037,0.06540861313861829
0.001,0.038,0.0654021336434604
0.001,0.039,0.06543398042261586
0.001,0.04,0.06546422856456183
0.001,0.041,0.0654730131755408
0.001,0.042,0.06550512056209781
0.001,0.043,0.06550846032913847
0.001,0.044,0.06549231744229488
0.001,0.045,0.06551483364767383
0.001,0.046,0.0655269368543388
0.001,0.047,0.06554394351307763
0.001,0.048,0.06557143460650953
0.001,0.049,0.06558065977205534
0.001,0.05,0.06553683751143065
0.001,0.051,0.06551200445232913
0.001,0.052,0.06550902416333579
0.001,0.053,0.0654941124086525
0.001,0.054,0.0654626447360597
0.001,0.055,0.06549010179121113
0.001,0.056,0.06547347460369059
0.001,0.057,0.06548238180673494
0.001,0.058,0.06547384892230848
0.001,0.059,0.0654826308654553
0.001,0.06,0.06546547250395447
0.001,0.061,0.06550004291355246
0.001,0.062,0.0654928550171978
0.001,0.063,0.0654947011731959
0.001,0.064,0.06553091015719964
0.001,0.065,0.06555155920347244
0.001,0.066,0.06555420944408857
0.001,0.067,0.06557439527379012
0.001,0.068,0.06558139803298046
0.001,0.069,0.0655723335041373
0.001,0.07,0.06556724931054479
0.001,0.071,0.06553959478281852
0.001,0.072,0.06557155029618883
0.001,0.073,0.06555060346434775
0.001,0.074,0.06554572234043222
0.001,0.075,0.0655217314426624
0.001,0.076,0.06553853585687323
0.001,0.077,0.06553999018964472
0.001,0.078,0.06557820547645701
0.001,0.079,0.06557881068523042
0.001,0.08,0.06557671057425395
0.001,0.081,0.06560054552320188
0.001,0.082,0.06561271215506702
0.001,0.083,0.06561382171480577
0.001,0.084,0.0656115988525135
0.001,0.085,0.06561376183637295
0.001,0.086,0.06562717966323924
0.001,0.087,0.06563182038643195
0.001,0.088,0.06561792186715487
0.001,0.089,0.06562399373473514
0.001,0.09,0.06563749081499923
0.001,0.091,0.06565632011329015
0.001,0.092,0.06563178717449904
0.001,0.093,0.06562695583899943
0.001,0.094,0.06561036077262744
0.001,0.095,0.0656138697625516
0.001,0.096,0.06560192809080888
0.001,0.097,0.06559927306380618
0.001,0.098,0.06558683969584092
0.001,0.099,0.06559230095876226
0.002,0.001,0.06561151902525349
0.002,0.002,0.065614468335653
0.002,0.003,0.06561096362556257
0.002,0.004,0.0655565590733393
0.002,0.005,0.06553428604562506
0.002,0.006,0.06549079882415755
0.002,0.007,0.0654630842391462
0.002,0.008,0.06547481344355102
0.002,0.009,0.06543100518996987
0.002,0.01,0.06540180904190823
0.002,0.011,0.06538436444812226
0.002,0.012,0.06541896756447543
0.002,0.013,0.06542577141083926
0.002,0.014,0.06541886758440468
0.002,0.015,0.06542321234185494
0.002,0.016,0.06543451041802087
0.002,0.017,0.06544098268501478
0.002,0.018,0.06544953093191319
0.002,0.019,0.06544065106870155
0.002,0.02,0.06539772195401496
0.002,0.021,0.06535777520659462
0.002,0.022,0.06533927330131765
0.002,0.023,0.06531330942699858
0.002,0.024,0.06532460553385626
0.002,0.025,0.06527390241692586
0.002,0.026,0.06526979295304262
0.002,0.027,0.06526282226156095
0.002,0.028,0.06525099668699279
0.002,0.029,0.06524812634237027
0.002,0.03,0.06528140562882441
0.002,0.031,0.06527764980947957
0.002,0.032,0.06524943141411485
0.002,0.033,0.06520398516694596
0.002,0.034,0.06517578006597415
0.002,0.035,0.06520579278338336
0.002,0.036,0.06521905350737961
0.002,0.037,0.0652544618903073
0.002,0.038,0.06522848448505465
0.002,0.039,0.06522498451803072
0.002,0.04,0.06527642469193286
0.002,0.041,0.06531415619668576
0.002,0.042,0.06534009542496476
0.002,0.043,0.06531842733460881
0.002,0.044,0.06534969066617251
0.002,0.045,0.06533675428429107
0.002,0.046,0.06532404249467463
0.002,0.047,0.06528769148752846
0.002,0.048,0.0652856866213603
0.002,0.049,0.06531061529109465
0.002,0.05,0.0652639770912573
0.002,0.051,0.06526783450259405
0.002,0.052,0.06524264840823271
0.002,0.053,0.06524483480581576
0.002,0.054,0.06529057517246177
0.002,0.055,0.06525636132325106
0.002,0.056,0.06527398814550985
0.002,0.057,0.06529166117202952
0.002,0.058,0.0652787058716734
0.002,0.059,0.06529076306443697
0.002,0.06,0.06528810082509398
0.002,0.061,0.06531673712096818
0.002,0.062,0.06531812500047986
0.002,0.063,0.06534587641796734
0.002,0.064,0.06534169492640336
0.002,0.065,0.06537290629403568
0.002,0.066,0.06537687111018119
0.002,0.067,0.06539516876164223
0.002,0.068,0.06537370401103139
0.002,0.069,0.06535715190688363
0.002,0.07,0.06531089455051615
0.002,0.071,0.06529468697027994
0.002,0.072,0.06530239438422974
0.002,0.073,0.06531026208630535
0.002,0.074,0.06535863149155283
0.002,0.075,0.06535921959022117
0.002,0.076,0.06541245129851597
0.002,0.077,0.06542249954698304
0.002,0.078,0.0654840179730872
0.002,0.079,0.06553838583890133
0.002,0.08,0.06553273405218894
0.002,0.081,0.06550512768016226
0.002,0.082,0.06552608108922664
0.002,0.083,0.0655326359248663
0.002,0.084,0.0655180866185767
0.002,0.085,0.0655328271018257
0.002,0.086,0.065539606795719
0.002,0.087,0.06555507434157161
0.002,0.088,0.0655710294569685
0.002,0.089,0.06560731680583255
0.002,0.09,0.06561381538653559
0.002,0.091,0.06561816930497073
0.002,0.092,0.0655887495953817
0.002,0.093,0.06556259697461322
0.002,0.094,0.06554987488653721
0.002,0.095,0.06551805803321745
0.002,0.096,0.06549296156508917
0.002,0.097,0.06551803754993339
0.002,0.098,0.06553111434015299
0.002,0.099,0.06553232379542968
0.003,0.001,0.06549285407980392
0.003,0.002,0.06549109271953693
0.003,0.003,0.06549910838660032
0.003,0.004,0.06551002132097955
0.003,0.005,0.06548343154305171
0.003,0.006,0.06543704164228618
0.003,0.007,0.06540692257470183
0.003,0.008,0.06535470506217146
0.003,0.009,0.06534671134062789
0.003,0.01,0.06534786524170119
0.003,0.011,0.06532523878697045
0.003,0.012,0.06533538375740963
0.003,0.013,0.06532639495781281
