c,e,mse
0.001,0.001,0.043124516164320885
0.001,0.002,0.0431545950247412
0.001,0.003,0.04316309479474633
0.001,0.004,0.04315917033036883
0.001,0.005,0.043153880756642685
0.001,0.006,0.0431506143973364
0.001,0.007,0.04315803743335765
0.001,0.008,0.04319625766370883
0.001,0.009,0.04315700786439074
0.001,0.01,0.043186519376241135
0.001,0.011,0.04319382500136707
0.001,0.012,0.043204761178046475
0.001,0.013,0.043225668368536176
0.001,0.014,0.04326663202684305
0.001,0.015,0.04329875570207006
0.001,0.016,0.04333961716685989
0.001,0.017,0.043394360671692264
0.001,0.018,0.0434208855218411
0.001,0.019,0.04348250117070382
0.001,0.02,0.043529779610236956
0.001,0.021,0.04360571469546112
0.001,0.022,0.043665420189033494
0.001,0.023,0.04368501387637826
0.001,0.024,0.04374700253750168
0.001,0.025,0.04379014214403933
0.001,0.026,0.0438207054876674
0.001,0.027,0.043867071021254526
0.001,0.028,0.04390406592354548
0.001,0.029,0.0439797875413376
0.001,0.03,0.044008056358624585
0.001,0.031,0.04401058913927724
0.001,0.032,0.04400411007161909
0.001,0.033,0.04405362286854544
0.001,0.034,0.04408685739925919
0.001,0.035,0.04411646168094834
0.001,0.036,0.04417388720467799
0.001,0.037,0.04421358852559264
0.001,0.038,0.04427453753245736
0.001,0.039,0.04436103857347359
0.001,0.04,0.04440164422322455
0.001,0.041,0.044443485629654556
0.001,0.042,0.04445905049362879
0.001,0.043,0.044535727717458666
0.001,0.044,0.044597396393127875
0.001,0.045,0.04465771042585093
0.001,0.046,0.044764104841178515
0.001,0.047,0.04485573503760523
0.001,0.048,0.04488299758535098
0.001,0.049,0.04493835710099118
0.001,0.05,0.04502091802834521
0.001,0.051,0.04511985746565976
0.001,0.052,0.045187956866739334
0.001,0.053,0.045246806648167076
0.001,0.054,0.045309567642487635
0.001,0.055,0.045376245614991643
0.001,0.056,0.04549035525628569
0.001,0.057,0.04555264186712799
0.001,0.058,0.04560908681753919
0.001,0.059,0.04570151557301861
0.001,0.06,0.045789025875325656
0.001,0.061,0.04584864937213214
0.001,0.062,0.04585427249510951
0.001,0.063,0.045951939557027165
0.001,0.064,0.04595944240210921
0.001,0.065,0.0459329403855677
0.001,0.066,0.04595125848612918
0.001,0.067,0.04600515643649335
0.001,0.068,0.046078758068304075
0.001,0.069,0.04617309433523877
0.001,0.07,0.046298558561469576
0.001,0.071,0.04633396675664794
0.001,0.072,0.04643540608897866
0.001,0.073,0.046443633955648024
0.001,0.074,0.04652174168378913
0.001,0.075,0.04662453068787395
0.001,0.076,0.046721585450635116
0.001,0.077,0.04672785845618121
0.001,0.078,0.04681669390087326
0.001,0.079,0.04690340746186369
0.001,0.08,0.04699567450379687
0.001,0.081,0.04707637606593649
0.001,0.082,0.0471843218342031
0.001,0.083,0.047330386133176826
0.001,0.084,0.04731014229284131
0.001,0.085,0.04734884740400272
0.001,0.086,0.04744181421269378
0.001,0.087,0.04749399780413022
0.001,0.088,0.047591328447648705
0.001,0.089,0.04769403901754185
0.001,0.09,0.04779682708122439
0.001,0.091,0.04772894353094319
0.001,0.092,0.04782813036279588
0.001,0.093,0.047908360554508304
0.001,0.094,0.04794037292179179
0.001,0.095,0.048009635643412416
0.001,0.096,0.04799474472203647
0.001,0.097,0.048133918731746925
0.001,0.098,0.04816336448797642
0.001,0.099,0.0482097483974565
0.002,0.001,0.03788560187596385
0.002,0.002,0.037940151108619855
0.002,0.003,0.0379853023450511
0.002,0.004,0.0380208710978702
0.002,0.005,0.03803134090683977
0.002,0.006,0.038123592855894894
0.002,0.007,0.038106316825383596
0.002,0.008,0.03814995844883052
0.002,0.009,0.0381700441872002
0.002,0.01,0.03815988557024839
0.002,0.011,0.038169139494091446
0.002,0.012,0.038247305037570054
0.002,0.013,0.03832971703434743
0.002,0.014,0.03842238323525755
0.002,0.015,0.038487080674747653
0.002,0.016,0.03856966738400883
0.002,0.017,0.038643934436174636
0.002,0.018,0.038797125719274864
0.002,0.019,0.038925485090169944
0.002,0.02,0.03899521682721183
0.002,0.021,0.03907130371680065
0.002,0.022,0.039120009412496284
0.002,0.023,0.03919335514789946
0.002,0.024,0.03928629068067723
0.002,0.025,0.03937368437723667
