c,e,mse
0.001,0.001,0.038370347846763374
0.001,0.002,0.03838634808186197
0.001,0.003,0.038416046906600734
0.001,0.004,0.0384632138707841
0.001,0.005,0.0384563066765439
0.001,0.006,0.038488129500581156
0.001,0.007,0.038491958861371675
0.001,0.008,0.03851545340546389
0.001,0.009,0.03851585939067764
0.001,0.01,0.03857774603639981
0.001,0.011,0.038588265840416545
0.001,0.012,0.03862772997141237
0.001,0.013,0.0386502547490872
0.001,0.014,0.03867824560404297
0.001,0.015,0.03871835065972918
0.001,0.016,0.03871506881013851
0.001,0.017,0.038742690172768574
0.001,0.018,0.03873735761213553
0.001,0.019,0.03874770236120629
0.001,0.02,0.038753711620417144
0.001,0.021,0.038804866799348206
0.001,0.022,0.03885918213403716
0.001,0.023,0.03890342726142933
0.001,0.024,0.038953485973180296
0.001,0.025,0.0389819091072487
0.001,0.026,0.038989427568422046
0.001,0.027,0.039029848873215374
0.001,0.028,0.039034537996398895
0.001,0.029,0.03913693686636996
0.001,0.03,0.03915561006355861
0.001,0.031,0.03919099571923903
0.001,0.032,0.03922281268188679
0.001,0.033,0.03924626967286889
0.001,0.034,0.039277743347573196
0.001,0.035,0.03933148588385733
0.001,0.036,0.039384665606324656
0.001,0.037,0.039437103011906435
0.001,0.038,0.039459720932351505
0.001,0.039,0.03949205548099992
0.001,0.04,0.0395501557608699
0.001,0.041,0.03962664403392874
0.001,0.042,0.03969520950341504
0.001,0.043,0.039711489506995275
0.001,0.044,0.03991064898424436
0.001,0.045,0.03991273086405496
0.001,0.046,0.03996662706608326
0.001,0.047,0.03997316362050815
0.001,0.048,0.040042523331781904
0.001,0.049,0.040116823185388256
0.001,0.05,0.04011941225912147
0.001,0.051,0.04018421529693218
0.001,0.052,0.040259954283245206
0.001,0.053,0.04031933036719941
0.001,0.054,0.04042865221136815
0.001,0.055,0.040475637596965604
0.001,0.056,0.040534023581730014
0.001,0.057,0.040606201299488394
0.001,0.058,0.04058796790839954
0.001,0.059,0.04064427063362602
0.001,0.06,0.040650112222607865
0.001,0.061,0.040620464325788495
0.001,0.062,0.040681512554050024
0.001,0.063,0.040740004010963664
0.001,0.064,0.040753376490073434
0.001,0.065,0.04078605407872975
0.001,0.066,0.040814461108495875
0.001,0.067,0.0409309575313854
0.001,0.068,0.04095559998808817
0.001,0.069,0.04092518448402263
0.001,0.07,0.040981943819530124
0.001,0.071,0.04103191191271516
0.001,0.072,0.04115005788818588
0.001,0.073,0.04121910276231207
0.001,0.074,0.04123613623645271
0.001,0.075,0.04141292191164938
0.001,0.076,0.04142353373390924
0.001,0.077,0.04145292928303025
0.001,0.078,0.04144105623097777
0.001,0.079,0.04158615579676631
0.001,0.08,0.04163418049169378
0.001,0.081,0.041750716369360695
0.001,0.082,0.041840287229823955
0.001,0.083,0.0418292710663252
0.001,0.084,0.0419624861396328
0.001,0.085,0.04202250764396753
0.001,0.086,0.042063239538729424
0.001,0.087,0.04206504100080921
0.001,0.088,0.04216488061777996
0.001,0.089,0.04219049200509615
0.001,0.09,0.04219808725770827
0.001,0.091,0.04215920552323189
0.001,0.092,0.04225467698487137
0.001,0.093,0.04232462425906673
0.001,0.094,0.04228743150018907
