c,e,mse
0.001,0.001,0.042869562066705974
0.001,0.002,0.04300061087032771
0.001,0.003,0.04293335996363495
0.001,0.004,0.042914606336086576
0.001,0.005,0.04290712002148311
0.001,0.006,0.042961275899806146
0.001,0.007,0.04296949154049326
0.001,0.008,0.04293320576380563
0.001,0.009,0.04289620578593465
0.001,0.01,0.04279601894986109
0.001,0.011,0.042823205590094296
0.001,0.012,0.04289301889749741
0.001,0.013,0.04285830637183974
0.001,0.014,0.042938778379835014
0.001,0.015,0.04300301515171211
0.001,0.016,0.04305341129253311
0.001,0.017,0.043058919478258864
0.001,0.018,0.0430946509022211
0.001,0.019,0.043148414056083155
0.001,0.02,0.04314457790962024
0.001,0.021,0.043140741572124455
0.001,0.022,0.04309785032610604
0.001,0.023,0.04314081208252461
0.001,0.024,0.04321039758427944
0.001,0.025,0.043258280271163976
0.001,0.026,0.043352297049829805
0.001,0.027,0.04332110379674444
0.001,0.028,0.04335263462720583
0.001,0.029,0.04338277611533723
0.001,0.03,0.04349707879336872
0.001,0.031,0.04353956169041709
0.001,0.032,0.0435149168381707
0.001,0.033,0.043570388050486776
0.001,0.034,0.04355477325553767
0.001,0.035,0.04362880567804377
0.001,0.036,0.043670811058615346
0.001,0.037,0.043743415067279245
0.001,0.038,0.04373011515781478
0.001,0.039,0.043725101349740926
0.001,0.04,0.043723261124371894
0.001,0.041,0.04381922700361282
0.001,0.042,0.04395337816847121
0.001,0.043,0.04398506953558055
0.001,0.044,0.04404276320984295
0.001,0.045,0.044027994135589846
0.001,0.046,0.0440527103084956
0.001,0.047,0.04419138336605858
0.001,0.048,0.04423311257376616
0.001,0.049,0.044291037819657875
0.001,0.05,0.04429383202537265
0.001,0.051,0.04426622531908445
0.001,0.052,0.0443111731187094
0.001,0.053,0.044470910948669756
0.001,0.054,0.044458924772363934
0.001,0.055,0.04452523437825645
0.001,0.056,0.044538452561758694
0.001,0.057,0.044616796518521865
0.001,0.058,0.04466649727111323
0.001,0.059,0.044785106224864334
0.001,0.06,0.04481369068080341
0.001,0.061,0.04489220902808303
0.001,0.062,0.04496450706007082
0.001,0.063,0.04502530270525391
0.001,0.064,0.045076978654852023
0.001,0.065,0.04511529244824377
0.001,0.066,0.04517356407678293
0.001,0.067,0.045163097497419924
0.001,0.068,0.04521094907923166
0.001,0.069,0.04526692897666077
0.001,0.07,0.04527999643290362
0.001,0.071,0.045240097518028224
0.001,0.072,0.0452919235500965
0.001,0.073,0.045326504956781234
0.001,0.074,0.04530599172145238
0.001,0.075,0.04532105800451333
0.001,0.076,0.04535935259036712
0.001,0.077,0.04541578946465639
0.001,0.078,0.04544033079435561
0.001,0.079,0.04553075331260482
0.001,0.08,0.045554672117289224
0.001,0.081,0.045609164486725175
0.001,0.082,0.04560098715958318
0.001,0.083,0.04568739723201233
0.001,0.084,0.04576730828445363
0.001,0.085,0.045843803013930436
0.001,0.086,0.045914764042674285
0.001,0.087,0.045977792673922255
0.001,0.088,0.046009546432084256
0.001,0.089,0.04604237499435561
0.001,0.09,0.04608100680349534
0.001,0.091,0.04606478207339295
0.001,0.092,0.04607893830209714
0.001,0.093,0.0461281179378558
0.001,0.094,0.04614389358732073
0.001,0.095,0.046208945826159704
0.001,0.096,0.04620658406397243
0.001,0.097,0.04621570848305957
0.001,0.098,0.046301413412590205
0.001,0.099,0.04632449252574832
0.002,0.001,0.037897202083975554
0.002,0.002,0.03789804097401843
0.002,0.003,0.03791886062592782
0.002,0.004,0.03801515287160527
0.002,0.005,0.037966165744881576
0.002,0.006,0.03790514323675827
0.002,0.007,0.03798021512812569
0.002,0.008,0.03806813168055574
0.002,0.009,0.03801918663319171
0.002,0.01,0.03808613485951644
0.002,0.011,0.03817531231777722
0.002,0.012,0.03821200238985833
0.002,0.013,0.03824583347392465
0.002,0.014,0.038330058752611924
0.002,0.015,0.03834156876303194
0.002,0.016,0.03844892300365578
0.002,0.017,0.03849291263334993
0.002,0.018,0.038571995877109584
0.002,0.019,0.038651898207821916
0.002,0.02,0.03873907511438795
0.002,0.021,0.03875604438062065
0.002,0.022,0.038823089198665596
0.002,0.023,0.03892624287337016
0.002,0.024,0.03898376009865987
0.002,0.025,0.03905908983417165
0.002,0.026,0.039202394666098116
0.002,0.027,0.039290446764997176
0.002,0.028,0.039398103648490064
0.002,0.029,0.03947732058839649
0.002,0.03,0.03954305244497957
0.002,0.031,0.039569453485648214
0.002,0.032,0.039724949233145346
0.002,0.033,0.03984348266100249
0.002,0.034,0.03986132996203085
0.002,0.035,0.03992311835325376
0.002,0.036,0.03999546645284476
0.002,0.037,0.04007116061399518
0.002,0.038,0.04016482159053506
0.002,0.039,0.04032155671821281
0.002,0.04,0.040457588517906914
0.002,0.041,0.04051880493252007
0.002,0.042,0.040666284062009374
0.002,0.043,0.04075429354348053
0.002,0.044,0.04080761001797409
0.002,0.045,0.04096319580783238
0.002,0.046,0.04110348256328785
0.002,0.047,0.04122144126202465
0.002,0.048,0.04134333721179372
0.002,0.049,0.041450019505947996
0.002,0.05,0.041494710292454065
0.002,0.051,0.041594291996671015
0.002,0.052,0.041617713940611666
0.002,0.053,0.041700360422639304
0.002,0.054,0.04185963433160934
0.002,0.055,0.04200147609251943
0.002,0.056,0.0420551131139826
0.002,0.057,0.04215818991976681
0.002,0.058,0.04227204240490859
0.002,0.059,0.0423480626682474
0.002,0.06,0.042420017655890326
0.002,0.061,0.042530239693232545
0.002,0.062,0.04261721700688097
0.002,0.063,0.04276312290137811
0.002,0.064,0.04281218889137985
0.002,0.065,0.0428886984817728
0.002,0.066,0.0428894446752043
0.002,0.067,0.04295090929960965
0.002,0.068,0.04296131488586789
0.002,0.069,0.04309643350656804
0.002,0.07,0.04320647310327727
0.002,0.071,0.043271890402886315
