c,e,mse
0.001,0.001,0.09293149979041533
0.001,0.002,0.09293328065535132
0.001,0.003,0.09293227563228461
0.001,0.004,0.0929227256034259
0.001,0.005,0.09295496129012924
0.001,0.006,0.092937992276091
0.001,0.007,0.09290528475800461
0.001,0.008,0.09293777180995187
0.001,0.009,0.09291943139310678
0.001,0.01,0.09298745257144013
0.001,0.011,0.09300614166363796
0.001,0.012,0.09301808898118193
0.001,0.013,0.0930706055016169
0.001,0.014,0.09315877232714627
0.001,0.015,0.09325014553756655
0.001,0.016,0.09326137489016388
0.001,0.017,0.09332048493002938
0.001,0.018,0.09339692840761646
0.001,0.019,0.09338815354738418
0.001,0.02,0.0934108836429564
0.001,0.021,0.09340308311010968
0.001,0.022,0.09347108042264762
0.001,0.023,0.09351630427933412
0.001,0.024,0.09354949906388516
0.001,0.025,0.09360047497579778
0.001,0.026,0.09358389119033461
0.001,0.027,0.09359003473386938
0.001,0.028,0.09360340664103443
0.001,0.029,0.0935957529341309
0.001,0.03,0.09360630302100326
0.001,0.031,0.09366481987977714
0.001,0.032,0.09371619429723177
0.001,0.033,0.09378618397817881
0.001,0.034,0.09386989390087869
0.001,0.035,0.09388636574907583
0.001,0.036,0.09388329309527625
0.001,0.037,0.0940199580504216
0.001,0.038,0.09409758411090446
0.001,0.039,0.09417145376880348
0.001,0.04,0.09419387831619855
0.001,0.041,0.09423009782731011
0.001,0.042,0.09425804708798612
0.001,0.043,0.0943326301764008
0.001,0.044,0.0944257259057943
0.001,0.045,0.09449532343605621
0.001,0.046,0.09452560670878989
0.001,0.047,0.09462243011434496
0.001,0.048,0.09463991756915861
0.001,0.049,0.09470196091106149
0.001,0.05,0.09481672083501781
0.001,0.051,0.09489365293279657
0.001,0.052,0.09495500171276756
0.001,0.053,0.09501474684442883
0.001,0.054,0.09504738434738044
0.001,0.055,0.0951443126552085
0.001,0.056,0.09521218871737908
0.001,0.057,0.09530205724616572
0.001,0.058,0.09531034003440961
0.001,0.059,0.09545573239110461
0.001,0.06,0.09549611015781125
0.001,0.061,0.09560229049435205
0.001,0.062,0.09566500012874726
0.001,0.063,0.09571608052110213
0.001,0.064,0.09575810808695588
0.001,0.065,0.09581587206694772
0.001,0.066,0.09598757948552684
0.001,0.067,0.09607305169681636
0.001,0.068,0.09614720783229327
0.001,0.069,0.09624219588059088
0.001,0.07,0.0964246803731777
0.001,0.071,0.0965183843224484
0.001,0.072,0.09659584610280245
0.001,0.073,0.09666949647885646
0.001,0.074,0.09675103170113054
0.001,0.075,0.09681156648995883
0.001,0.076,0.09680030592582238
0.001,0.077,0.09678905406817366
0.001,0.078,0.09684701097654853
0.001,0.079,0.09690553043988681
0.001,0.08,0.097077339027481
0.001,0.081,0.09725864237656623
0.001,0.082,0.09744477137424248
0.001,0.083,0.09739440823983336
0.001,0.084,0.0974511670450859
0.001,0.085,0.0975658909016024
0.001,0.086,0.09760348915384269
0.001,0.087,0.09769976084701198
0.001,0.088,0.09785346166088274
0.001,0.089,0.09800693206705326
0.001,0.09,0.09803976189730662
