Trial,MSE,C,Epsilon
0,0.08612161043635297,0.0933765471411673,0.005558719963191674
1,0.10227245740172912,0.04710011157143794,0.021254972844546284
2,0.07729850045500536,0.07753854840870934,0.042690662926440325
3,0.08130252884536002,0.05790479564237267,0.08231836192337914
4,0.08894260208054462,0.047599617212655806,0.007001000155317294
5,0.07707668165118925,0.08354624561078938,0.06507781169301328
6,0.09871581825118877,0.010154028582221877,0.014955505404533713
7,0.09706883455447692,0.09134586801413347,0.012232686856697894
8,0.08645863766274958,0.014173967697564379,0.04994640012085506
9,0.08840959808451812,0.04919085773505283,0.04571471218606836
10,0.09031955331473773,0.07053856446589818,0.08470130164107256
11,0.0866291793762827,0.07609247004773434,0.06765608265661624
12,0.0860316996071677,0.07882953253076902,0.034694291904134325
13,0.09299761750226684,0.09980195400982692,0.06633276669699936
14,0.10721084390843216,0.031426522036760496,0.07154755290974897
15,0.08241067788476164,0.06437572733385225,0.03337640133259609
16,0.07732944481256039,0.08645734898610286,0.05848850784186138
17,0.09454742128286768,0.08191102910563772,0.09514158159105073
18,0.10067886638060675,0.032412465229918246,0.03850832519117557
19,0.08131884384629683,0.06557765525833173,0.024077123280835576
20,0.0867010235393199,0.0582890649152429,0.057879106861887956
21,0.076923598148265,0.08722455180523456,0.05760036838895444
22,0.09225218259775193,0.09674039600934695,0.05781709579019409
23,0.07879562040560809,0.08575450680241517,0.04328161893938247
24,0.0792012029183699,0.07258065451156637,0.07969857355023852
25,0.08404728153753849,0.08761982540022657,0.054081665601746584
26,0.08224223225168271,0.07739494895260479,0.07336066908154379
27,0.08238659762036486,0.06407438489038089,0.02822269704010684
28,0.10007162043906913,0.08313833922593496,0.06316736009278538
29,0.09905964829681356,0.09300824884912698,0.04792100627092364
30,0.08513753633109473,0.09166334553644984,0.095725011998048
31,0.09290741943170067,0.08743882515475479,0.059569081683469645
32,0.08219937915129702,0.09991220987822572,0.04077745315413034
33,0.09838564121125155,0.07288980868609088,0.052707344413299655
34,0.08691187245993312,0.04097285684035512,0.07770338547994152
35,0.090316977827496,0.05451679096175765,0.08659861954405605
36,0.08175614802662247,0.08184580485699405,0.06365636234071721
37,0.07948430041729902,0.06799112538326862,0.07226136061961463
38,0.10574795030701402,0.0026349904428555476,0.0008216686644503396
39,0.09438171037760139,0.08950379509530271,0.051332312222626915
40,0.08430277325169365,0.09428198535450379,0.04615555255231966
41,0.09246990823763895,0.08629071615808319,0.03965111840795947
42,0.07921321012365694,0.08448944649578052,0.04321763076845911
43,0.08032643846881456,0.078079893240793,0.05480428371760041
44,0.08031161498497096,0.073739138770547,0.03476966680097622
45,0.08587118639286992,0.08004301704329397,0.06310595238028402
46,0.09116370158735643,0.09589599828481185,0.017024437830806854
47,0.09312633601136279,0.05909358842883855,0.027729256590612407
48,0.08497951756702557,0.09001854915598294,0.04657269464548267
49,0.08658010353606455,0.07043252239560477,0.06726888574687466
50,0.0963565561554672,0.042327647648735714,0.06024063851917752
51,0.08966737199679012,0.07458498508185743,0.08159504158528834
52,0.0903043650558582,0.08337167460364932,0.08699060663655796
53,0.08978311719460558,0.07908819443459145,0.09080143327277135
54,0.09233185451950926,0.06999378867741347,0.07739219299952511
55,0.08751026685448336,0.08590896862028988,0.07069378528577173
56,0.09110962631575686,0.01958243973653979,0.04931858416343286
57,0.07418416905278805,0.06231106126200198,0.05455687088448493
58,0.09022387363780628,0.0629782425739902,0.05460429236391345
59,0.08840840624110273,0.09696137675081636,0.04275229967361405
60,0.08349178309606398,0.05266563288695005,0.05784841582554349
61,0.09213227993854872,0.07504613489859487,0.03562102171078132
62,0.10052331436333085,0.081538522227142,0.07676245847021233
63,0.09113059115209221,0.060837031964928553,0.030702242328643582
64,0.0919460242591957,0.06717684044805675,0.06508537608713702
65,0.08006954701794147,0.09001124567844385,0.06107086501790438
66,0.07994746629910487,0.0774326607728155,0.06932392493233609
67,0.07931228431616061,0.07172241910217156,0.049828092624965965
68,0.09109487119556707,0.08700095833620078,0.057117534458931744
69,0.07860805799443554,0.06709389085937538,0.042326024932986775
70,0.08128654285734113,0.05524179540126807,0.037503773742509725
71,0.08663923848369759,0.06585686627450878,0.04576162984867186
72,0.09505232479812445,0.07613769785289551,0.05214719785821625
73,0.08138121949834021,0.062401195726054084,0.044075152647858044
74,0.08625372698102927,0.08088030670262059,0.04056135829711398
75,0.08913474562602464,0.06846100375809534,0.05590141958163751
76,0.08545318500087573,0.09321871417815593,0.048421029860060284
77,0.07717355201162711,0.08264469594229022,0.06117287649055981
78,0.09064372084177302,0.08325592777796759,0.061423425450852796
79,0.08683752053126527,0.08868968659530176,0.07430988658701236
80,0.08966883484589584,0.08587211564001858,0.051558643241989666
81,0.09930671915315292,0.07380925683181538,0.09824678750906346
82,0.0842407528711317,0.07857166100383108,0.05365674274015311
83,0.08636470912585978,0.09147666254819956,0.06510362630990559
84,0.08544300423786197,0.08017592940028372,0.05954193741659078
85,0.08674718677502191,0.07115958332921173,0.06871012402625262
86,0.08699658604576596,0.08442509062003273,0.042223006460741695
87,0.08336583226265885,0.07659050436644123,0.03187804617543426
88,0.09306157045647183,0.045918021842647434,0.08332713282594012
89,0.09457613992288001,0.09698248456439838,0.06240414805172782
90,0.09019470473993418,0.07305568400898776,0.04465865083649814
91,0.07835840532714353,0.08410212985465264,0.03699731865309468
92,0.07909335206915992,0.088328139910046,0.038683400545540536
93,0.08011810271500282,0.08820424616474001,0.03833610553771833
94,0.0796352900103526,0.09442242399833845,0.03708006537045318
95,0.08086768270408239,0.08504680105894928,0.02247800049031166
