Trial,MSE,C,Epsilon
0,0.05007679008579981,0.03372940059296722,0.023416489447260956
1,0.04142496485974004,0.06932162358949762,0.05012965920620073
2,0.04811813099020883,0.0510608791730166,0.0601104734923097
3,0.05279899366966537,0.018349911657408454,0.01464859345886768
4,0.05194124617993621,0.02413297760181087,0.021034214773364476
5,0.04776375753546203,0.061751526376495294,0.0362588566484608
6,0.05658006880092433,0.014139237284533293,0.047381594279766154
7,0.04189781705408508,0.09604750304895332,0.06900833411281071
8,0.050840148425375604,0.04825757125257863,0.07931641679642336
9,0.04108751226658973,0.08553139916582599,0.0021760235151440026
10,0.041689616680676805,0.09759112984771168,0.0019123592422301183
11,0.05209288205906417,0.07661412009989038,0.09617458085674127
12,0.04479475087779166,0.07711300255468033,0.04273739584949163
13,0.04469226629822226,0.07857660188802248,0.058354784615842134
14,0.04720504594882603,0.06763676680512608,0.0010249558752744373
15,0.04569755113823579,0.08850060129533871,0.030085107416512564
16,0.05056558968915018,0.05766717937548137,0.0805017652080583
17,0.05381543978165973,0.003973419405103373,0.05737433365446089
18,0.04141423641891287,0.042997128852211505,0.013839202361396345
19,0.046190679737727065,0.04293690609623776,0.011305761947671845
20,0.045767613674935946,0.033348409265436495,0.011140419848792984
21,0.04957978350706887,0.07026398371345802,0.03626739906026381
22,0.044230429996598285,0.08961060435018806,0.02465334902648552
23,0.04369567624544617,0.05955110244068904,0.00042008530127320143
24,0.04811586399833775,0.08469778223546834,0.013183892150797995
25,0.05147039877490806,0.039675571029772205,0.03756985376910496
26,0.04387573193654377,0.06755099517340295,0.04846044874143315
27,0.045777466482155124,0.054794058392789745,0.07057593150078172
28,0.0426034352511055,0.07389827683887085,0.030278204940599754
29,0.03795874769190601,0.03541965616610396,0.019484370105095367
30,0.047937449135892304,0.029627144335944974,0.020225596990483548
31,0.04647803011628152,0.04178189037222201,0.007491642929366892
32,0.04966507378315525,0.04747696141938093,0.021075356087862995
33,0.046246642404272974,0.037876362762139536,0.007415230291124324
34,0.052389248580565255,0.02615625639654736,0.027149717767725366
35,0.04012510692214389,0.08277800743004023,0.017000220496516706
36,0.049047215603530675,0.018537114628963375,0.017317095959142548
37,0.045604597452137866,0.08448314989719627,0.006147837207622204
38,0.04247373676393251,0.03558435747411021,0.01627053295113201
39,0.045255488680940044,0.0640675177252987,0.0065575419121855424
40,0.04588217626726539,0.05073593064491701,0.030515710637030322
41,0.050891248151484415,0.08044331974012014,0.05281305015471885
42,0.04310813634347282,0.09588655257750806,0.04454206403296694
43,0.04026879983990352,0.09224952132910796,0.017212605931445316
44,0.0474471562832062,0.09144297672245535,0.017463160056521175
45,0.046607290599967,0.08332122644671949,0.023675244404793738
46,0.04294235879418162,0.09973258082432503,0.011612066463422237
47,0.04336102236303589,0.09381915036924096,0.004416609443607536
48,0.04754910489990992,0.01934165823753387,0.015509875329393486
49,0.050792050438143485,0.04608125342539394,0.03338548820687702
50,0.052051483252024994,0.010684624541959769,0.026436634443357282
51,0.042012099021063995,0.0749470323671821,0.042528987430246495
52,0.04696382749238127,0.08917440646962077,0.06301344679887744
53,0.045641266875342486,0.05428199374460704,0.052372256942207054
54,0.04690973007551716,0.08179367454948987,0.010401570982967425
55,0.05412513239110165,0.08722342780370544,0.09460516239183947
56,0.04657927598888153,0.07200958366735931,0.02020918076209628
57,0.043115984246254846,0.031250483260815934,0.039527678960418935
58,0.04463395089188735,0.07785472468151516,0.0031900475687100457
59,0.04974299449513904,0.06426450475520762,0.06274528889853799
60,0.04094484116156791,0.09336009963988053,0.008695213344106698
61,0.049751640215474874,0.09272831180614512,0.013960521702304857
62,0.037622068552549306,0.09710413884923155,0.009982477424350582
63,0.04243460099821014,0.09707849062714773,0.008469673818714154
64,0.04133152496388168,0.09918962732277989,0.0009682180187681015
65,0.04108729427871601,0.0999975191794142,0.00032900592945474087
66,0.046759384205565746,0.0940118286539826,0.004852526553698943
67,0.05143176644627309,0.08715548395176724,0.00015297037844425043
