Trial,MSE,C,Epsilon
0,0.07387449263830605,0.07199333590407186,0.021409828096084618
1,0.07338590232410902,0.09386203909951411,0.06401132445092039
2,0.07652845794856201,0.05481410063509217,0.09754227997814596
3,0.06816479525668145,0.007946759945519674,0.032208519101063066
4,0.07019967923528249,0.04447687513971738,0.024651915977155773
5,0.07308285113903847,0.03891236379522237,0.007797091270486757
6,0.08456865167577315,0.06866220525654912,0.09487954742635789
7,0.07618516006337923,0.04945810825630066,0.019032078097558264
8,0.07087478166740567,0.09925316499421219,0.059623837024136705
9,0.06711890686210145,0.035846748456573554,0.08028255897688404
10,0.06827796753273291,0.016871561635694143,0.07704607227763603
11,0.07630402140725007,0.005360097066868144,0.0390035539821465
12,0.06954779170294909,0.02469062332144298,0.04165432898393985
13,0.0666704336777998,0.0035571224071359996,0.07553810652516833
14,0.06804751611542788,0.02971371695351232,0.08147674984591342
15,0.07098367184552475,0.001617016584804421,0.07657198740487393
16,0.07431278400878961,0.021046697615981245,0.06066579415986808
17,0.07537954567209199,0.03372697402110298,0.08678680835604023
18,0.07355416792423838,0.06931367660697967,0.06832471369207238
19,0.07186553090158315,0.013912865163167677,0.0497385302982494
20,0.07929871426520255,0.06005559437998762,0.09166307086265801
21,0.06873738814414446,0.030375888683229955,0.07747951783798554
22,0.06810661506767607,0.028937249378616484,0.08470222913411316
23,0.07508059252062563,0.03979679744725868,0.07149219012087567
24,0.07317552861237975,0.013853540553629645,0.08432862840861273
25,0.07554461047784505,0.024683132378858982,0.05157713365674982
26,0.07141718570124563,0.00033512535947605475,0.09937280894789913
27,0.0728386630091575,0.039987564221285396,0.05197458790698727
28,0.06676430025436739,0.00918797634206495,0.08878942879613128
29,0.07700204763597966,0.08319531657798909,0.08968939945900042
30,0.0723332448108396,0.009577771626105347,0.06810754520056349
31,0.07795349976217233,0.020021363700932677,0.08081113638188173
32,0.06744952175512442,0.010995549695735782,0.07343058675838886
33,0.0728233639421756,0.010950282000765806,0.07201480623431912
34,0.07520973273893167,0.005138197346805616,0.06223343394228931
35,0.06703090251596493,0.01983525818550265,0.09250383374095536
36,0.06821802464375942,0.01831725725937349,0.09362002268562156
37,0.07711735490975768,0.024130852265679188,0.09922058135418799
38,0.0678273606745422,0.047130234333982696,0.09085664716583225
39,0.07553893586867226,0.03331958685571988,0.08647815726417381
40,0.07077604545316571,0.054096169391862896,0.09409347252673089
41,0.06973666414777499,0.006424278608360206,0.07379485167281044
42,0.06825723495283259,0.014173475314807619,0.0801696892740697
43,0.07148391047037395,0.009604177400869902,0.056214643546827335
44,0.06787649371465126,0.016834346247213673,0.06670073728043997
45,0.0718248518727045,0.001956911277304064,0.08874588568088827
46,0.07239004922835403,0.005682660206311682,0.08151155025509475
47,0.07505324500934807,0.02295709818329862,0.008462056027213026
48,0.06982422137968339,0.034508195054722614,0.0751465405302514
49,0.07916534822344022,0.011992682185329211,0.09494230286973052
50,0.0771682948115182,0.04384124978330492,0.06460842763056006
51,0.06757645044711895,0.04796238123423446,0.0893248129274756
52,0.07797433303630492,0.06252825561839469,0.08435159417829632
53,0.08352077944489941,0.05307335077389004,0.07892529728064637
54,0.07283577169851373,0.02711295159298374,0.09672594777838056
55,0.07479668194862407,0.045228710434805475,0.08826170571796207
56,0.07827406039836667,0.07739249404567504,0.029724241752083172
57,0.08272815380167277,0.016742429173927056,0.07072154817380474
58,0.07684095413274836,0.05923994091415241,0.08311875862747284
59,0.07334655419178691,0.003509771923853584,0.07675749059221076
60,0.07361881493723012,0.05041884116849339,0.09283594357341704
61,0.07130767086971654,0.04513824558850142,0.08989323242032686
62,0.06773119781000228,0.036676780888814396,0.09084281715441357
63,0.07417253889849106,0.03652489475168824,0.08650008858191469
64,0.07436218272806241,0.03850076078822583,0.044276296917888446
65,0.07624722855277823,0.0078877656859227,0.08301047225006378
66,0.06878878117609441,0.030530785488295936,0.09857029692861158
67,0.07750110354222638,0.04235327380172408,0.0951644287557908
68,0.06934939519879428,0.02720442639342176,0.09193392181086234
69,0.06792930336514873,0.021255344175854018,0.08645217637192978
70,0.07345298392815736,0.013978715555880735,0.07364869886811287
71,0.07136966386042987,0.049787949168354356,0.09157874038213093
72,0.06750216379628074,0.046989416404710854,0.07778081838774165
73,0.07059295726558162,0.0569792966212488,0.07934332699383233
74,0.07114897109186274,0.06387537587189596,0.0582188611903549
75,0.07432139111914535,0.00014113974859614534,0.06972467037681686
76,0.07320593360398785,0.04189931843299027,0.0774295325729128
77,0.07458263148292404,0.03672325026727326,0.0968950771483177
78,0.07245123113472043,0.04835328177124834,0.08251940233983965
79,0.07750768613749295,0.03157652528664894,0.08819146149886793
80,0.07321035002570467,0.007989733018081428,0.06637868888823774
81,0.07437626584005072,0.0494818673403037,0.09071255098688756
82,0.07706239115559992,0.048003263278440664,0.08493273166524413
83,0.0696303930925959,0.011832967249416125,0.0751486242669465
84,0.07088483134068581,0.003677866561907852,0.07969236756253952
85,0.0705141840420432,0.05231633670998008,0.095754100657136
86,0.06993067576119731,0.056295057319469974,0.0998516616310366
87,0.0760167552580102,0.047250408524446355,0.08640328462491775
88,0.08003222405668695,0.01848976533298058,0.08939969870201865
89,0.0763130887738941,0.09278835769069935,0.07340830181812988
90,0.06335890554889423,0.04039687175581951,0.09264196732975356
91,0.06971661055535062,0.03875614497465471,0.09243631235968196
92,0.07086487905190338,0.034962449393449904,0.08196947845346253
93,0.07259062966746946,0.04078461186302782,0.08474242417107009
94,0.06830208380108291,0.04614330902490446,0.09464184808000822
95,0.07806691395290667,0.04284961752888935,0.00010094136163921186
96,0.07149232966297502,0.05162848598693867,0.0889082440180092
97,0.07115210596575858,0.032742387218613375,0.09698423584910154
98,0.07545270901549218,0.02839121839051936,0.07809954890287284
99,0.07882609552318089,0.015929420590416972,0.0911047774388363
