Trial,MSE,C,Epsilon
0,0.11217902372540622,0.0002831828080973104,0.09722588715337203
1,0.02812045738056932,0.01587452362873883,0.034290428612037245
2,0.022823527568243563,0.056466187714459694,0.032774113666365616
3,0.05382840184855386,0.006798141756640465,0.06514296199112744
4,0.031820008209732166,0.023504796157096424,0.06212660732435435
5,0.02573257136924037,0.07541034411475883,0.04169668419989459
6,0.023939702241033346,0.0632826532883366,0.03458033496863912
7,0.022623025768145705,0.02542593642372636,0.022801150354232864
8,0.017785009796296367,0.08439894297373673,0.024669412749735668
9,0.04127660809760373,0.02160097411552758,0.08739427133474595
10,0.014802944119762263,0.09833677451591205,0.005656621914534605
11,0.014753470930142192,0.09981812698922032,0.002878008884443653
12,0.015847630065794226,0.09834149675581591,0.0016659442808884036
13,0.015626420034377458,0.09871410312470678,0.0029696075129573814
14,0.021734794902031673,0.04101976394172483,0.012729712972747378
15,0.018936797239179234,0.08272002309322155,0.014872854068388881
16,0.027455470265424112,0.06848063884676645,0.05241244869344619
17,0.014284036391288309,0.08820918911153582,0.012039319447139069
18,0.020666355473864462,0.04466058519677239,0.0173857667405739
19,0.028149845079204615,0.08647909381618996,0.07526070021408385
20,0.02383539263750794,0.08939743938316386,0.047489859409896494
21,0.014643777280697075,0.09882744574980167,0.007505053357569512
22,0.016490412810741567,0.07639587967862976,0.009468032639111272
23,0.019790421909609123,0.09088315169483327,0.020906400444240303
24,0.01718460579760612,0.07270076215525759,0.0004772991635134975
25,0.020340559504380143,0.09015078349854584,0.027075552398198508
26,0.016532429001053298,0.09968750604552569,0.01184122174787517
27,0.015233064918464895,0.07921406594894381,0.008495510028105183
28,0.02152337455332111,0.06510949239168162,0.02823238273576613
29,0.03747841266072469,0.05554964990657804,0.09752896792446952
30,0.01754347633454921,0.09237789830981652,0.017330910416851288
31,0.017645394481208977,0.09627033942363268,0.0072718792771152875
32,0.01491360104918261,0.09356644019067835,0.0037537867617995833
33,0.018490525355476885,0.08268779656670511,0.007388530838208165
34,0.017777805810796927,0.08681706428971273,0.036971332054720855
35,0.021004547223040296,0.0336566183730431,0.01873973693909779
36,0.016245479518498793,0.09416627652933976,0.012729724693615354
37,0.11466366495253007,0.00015918878954773036,0.0306025300025415
38,0.026139945490425438,0.0791352584002588,0.04109454957231137
39,0.014792926688780414,0.09981113954699122,0.0005505423417477961
40,0.027517713301913656,0.057397765436966626,0.05746762195757935
41,0.014034195792519764,0.09986611727571044,0.0003903448742647855
42,0.015376385246714705,0.09322565497378778,0.002286699097550763
43,0.01587322438392405,0.08830844684960777,0.0006585370542207726
44,0.02192942911136221,0.09935402084317194,0.023182463049523257
45,0.014727323529024236,0.09489650093557621,0.0070308169087896066
46,0.026552385398517325,0.009277081575210885,0.01029030151564687
47,0.016640326681654855,0.08333957607315577,0.014570322873123842
48,0.016223418713536254,0.07098783903234099,0.005836363749783985
49,0.03507943498927181,0.09498094615655597,0.08192500934549525
50,0.018748406763101317,0.07845519986691138,0.01667895854681155
51,0.015642247244632593,0.0997892630980707,0.00011394847704636687
52,0.015710394263952515,0.09557558411018943,0.00510277053153569
53,0.018475714131534107,0.08621498350605628,0.0111267896659165
54,0.01594983215798929,0.09116524793415241,0.0055136263964427595
55,0.017809235001530442,0.09617703135918672,0.02044266076433784
56,0.01733058659093856,0.08897152475224179,0.009042437256174563
57,0.01763816318309296,0.08186261748769375,0.014482012953567255
58,0.027056233915242096,0.09994632181933624,0.06533197602797663
59,0.01598247616966218,0.09651902078087127,0.004238656772757839
60,0.03554674061393926,0.09028603177559424,0.09216056816968854
61,0.016599237646879123,0.09621393076690025,0.003310615675921324
62,0.015159786136071834,0.09240470068337123,0.008475458780947626
63,0.016611168294143525,0.0859604423972408,0.012726862506114017
64,0.014448577647088017,0.09736271995924385,0.00011085612782631062
65,0.014244508208885032,0.09999361674256962,0.002122805641372875
66,0.015132517021881604,0.09229837618034113,0.006473197152767935
67,0.01864040632876666,0.09665025300691825,0.02619808390678563
68,0.015309086652683634,0.08817351790531622,0.010560816468263694
69,0.018946982668785993,0.04140847503569652,0.0034796940822981112
70,0.019011303692741576,0.07399815593419719,0.016235504870405936
71,0.015840202039016146,0.09991064409951127,0.00021805210819376638
72,0.014767701515790415,0.0968866578843055,0.007237591520021918
73,0.015460034738146016,0.09427966582912756,0.006054669126644486
74,0.01607797625633475,0.09746378349331682,0.02007313185004017
75,0.01632969131132572,0.09146443353019872,0.00841128346576065
76,0.021581963051538203,0.029671027437872026,0.013552747818862891
77,0.013952705170706766,0.08420501296225757,0.003848425390683431
78,0.017339881689085256,0.08449077610888885,0.003733120633720703
79,0.01563538837696658,0.08886623504371263,0.01097108915274944
80,0.014888315315613925,0.08040757048650579,0.003766676055771251
81,0.015798191328714562,0.09450648104464657,0.00725003566340803
82,0.014111072721626094,0.0972861777252302,0.0032580736731275747
83,0.011480020674583431,0.09284137360760633,0.002131492296512718
84,0.015744755323458773,0.08575302151376892,0.002302005415249102
85,0.014067457721913422,0.09333135917964616,0.002114584398880107
86,0.01533179104205827,0.09118319872306513,0.002260890142202555
87,0.025983941647011503,0.07717219964610635,0.047923221477793064
88,0.01493418354065573,0.0932356026196881,0.0003613387546899556
89,0.015322298085241895,0.08780334263558637,0.00974242257770867
90,0.016556166049317284,0.09831963949185135,0.005102892089856578
91,0.01625107872066862,0.09387654401419954,0.002289031527336149
92,0.015108667874679705,0.09737212594921442,0.005805266334157629
93,0.0171320183913707,0.0903055478924552,0.008877542628893712
94,0.018701686275775797,0.08426291326190087,0.014845995307822296
95,0.016484024315579222,0.09499776853806323,0.011566603136832401
96,0.0163889430994639,0.08176498800730986,0.0025336562630701195
97,0.014990393372697988,0.0983125259338497,0.005304519778913386
98,0.016154479437773105,0.09245559066390822,0.0003565640618580605
99,0.021852849753410345,0.01702370839254526,0.012487060087778085
