Trial,MSE,C,Epsilon
0,0.02394480288553228,0.07508087209869116,0.05086140447897791
1,0.029416970168866675,0.03455011611995388,0.06165520030766124
2,0.040208936012730276,0.05078383736033459,0.08609155637853802
3,0.036103801017164684,0.05461848400275226,0.08608275144083002
4,0.010197821280587136,0.0718056762846659,0.007615934980707223
5,0.02780141027653614,0.05940520783938577,0.05722860575442966
6,0.03583613905617376,0.006248944806283819,0.054505812803751656
7,0.024440321972814233,0.09183808511012612,0.04313670423354105
8,0.03211751870549852,0.022449891863887423,0.07152546126649967
9,0.02236933887760041,0.09583331134487999,0.04081440434868683
10,0.011154924548857937,0.0762766110030243,0.0038402621507657242
11,0.009752633845405834,0.07490273656995786,0.0007162791064071472
12,0.011712965924202007,0.07400687060312147,0.0004203526945193159
13,0.016406573820116514,0.06698800699447108,0.021380632290641695
14,0.01632020657913551,0.03812349211293265,0.02190256761144994
15,0.012946020969327596,0.09114120119966322,0.016953297712049214
16,0.022590764104122356,0.08244257106736516,0.03321121983364197
17,0.014314115922076067,0.06467407955964519,0.015149126948625816
18,0.01253256065471656,0.04036692040350173,0.008299005613885933
19,0.01830585255023446,0.08443050035398984,0.030380455473109413
20,0.018708995154200728,0.0661858999467883,0.029332063670668707
21,0.00914151348209915,0.07665650099228638,0.00050156437051879
22,0.01095395683340159,0.08473341959033236,0.010443079801755586
23,0.009869591500842568,0.07237039213561428,0.0008579013512765444
24,0.009871108265269983,0.09913369618193292,0.00037721358482265904
25,0.013481628962612237,0.0598701348566098,0.014530617825096685
26,0.016605441624319123,0.044851239507202295,0.02491322777466077
27,0.010659567586041323,0.08083008026420713,0.00811345221073801
28,0.04423212970765565,0.08936415732449864,0.09992249715803614
29,0.02098849387646445,0.07506938944758781,0.043083944032152315
30,0.012465717167293064,0.058351228453595194,0.01573404043817627
31,0.00884948454304908,0.09850990685308683,0.0005355362112956007
32,0.01093171628136063,0.07980916582258239,0.0010871546412971392
