,c,e,accuracy
401,0.05,0.06,0.07044030429136544
402,0.05,0.07,0.07107808826676973
403,0.05,0.08,0.07149822060258673
404,0.05,0.09,0.07057386789671831
405,0.05,0.1,0.06951074538348348
406,0.05,0.11,0.06828899573212689
407,0.05,0.12,0.06703882539126214
408,0.05,0.13,0.06582732206663029
409,0.05,0.14,0.06559664033921572
410,0.05,0.15,0.0662303961254876
411,0.05,0.16,0.06681308420688177
412,0.05,0.17,0.06835914872343382
413,0.05,0.18,0.06885910284184844
414,0.05,0.19,0.06863201306612779
415,0.05,0.2,0.06805199141472015
416,0.05,0.21,0.0691924970220412
417,0.05,0.22,0.07169688086705524
418,0.05,0.23,0.07442116689698294
419,0.05,0.24,0.07803499399455399
420,0.05,0.25,0.07976270545292023
421,0.05,0.26,0.08459582078655566
422,0.05,0.27,0.08282150733946365
423,0.05,0.28,0.0845081682328583
424,0.05,0.29,0.0851463926263964
425,0.05,0.3,0.08898232847832757
426,0.05,0.31,0.08667222935676526
427,0.05,0.32,0.08743664319273003
428,0.05,0.33,0.08901156000825017
429,0.05,0.34,0.0901107582607725
430,0.05,0.35,0.09011075826077246
431,0.05,0.36,0.09011075826077246
432,0.05,0.37,0.09011075826077246
433,0.05,0.38,0.09011075826077246
434,0.05,0.39,0.09011075826077246
435,0.05,0.4,0.09011075826077246
436,0.05,0.41,0.0901107582607725
437,0.05,0.42,0.0901107582607725
438,0.05,0.43,0.0901107582607725
439,0.05,0.44,0.0901107582607725
440,0.05,0.45,0.0901107582607725
441,0.05,0.46,0.0901107582607725
442,0.05,0.47,0.09011075826077246
443,0.05,0.48,0.09011075826077246
444,0.05,0.49,0.09011075826077246
445,0.05,0.5,0.09011075826077246
446,0.05,0.51,0.09011075826077246
447,0.05,0.52,0.09011075826077246
448,0.05,0.53,0.09011075826077246
449,0.05,0.54,0.09011075826077246
450,0.05,0.55,0.09011075826077246
451,0.05,0.56,0.09011075826077246
452,0.05,0.57,0.09011075826077246
453,0.05,0.58,0.09011075826077246
454,0.05,0.59,0.09011075826077246
455,0.05,0.6,0.09011075826077246
456,0.05,0.61,0.09011075826077246
457,0.05,0.62,0.09011075826077246
458,0.05,0.63,0.09011075826077246
459,0.05,0.64,0.09011075826077246
460,0.05,0.65,0.09011075826077246
461,0.05,0.66,0.09011075826077246
462,0.05,0.67,0.09011075826077246
463,0.05,0.68,0.09011075826077246
464,0.05,0.69,0.09011075826077246
465,0.05,0.7,0.09011075826077246
466,0.05,0.71,0.09011075826077246
467,0.05,0.72,0.09011075826077246
468,0.05,0.73,0.09011075826077246
469,0.05,0.74,0.09011075826077246
470,0.05,0.75,0.09011075826077246
471,0.05,0.76,0.09011075826077246
472,0.05,0.77,0.09011075826077246
473,0.05,0.78,0.09011075826077246
474,0.05,0.79,0.09011075826077246
475,0.05,0.8,0.09011075826077246
476,0.05,0.81,0.09011075826077246
477,0.05,0.82,0.09011075826077246
478,0.05,0.83,0.09011075826077246
479,0.05,0.84,0.09011075826077246
480,0.05,0.85,0.09011075826077246
481,0.05,0.86,0.09011075826077246
482,0.05,0.87,0.09011075826077246
483,0.05,0.88,0.09011075826077246
484,0.05,0.89,0.09011075826077246
485,0.05,0.9,0.09011075826077246
486,0.05,0.91,0.09011075826077246
487,0.05,0.92,0.09011075826077246
488,0.05,0.93,0.09011075826077246
489,0.05,0.94,0.0901107582607725
490,0.05,0.95,0.0901107582607725
491,0.05,0.96,0.0901107582607725
492,0.05,0.97,0.0901107582607725
493,0.05,0.98,0.0901107582607725
494,0.05,0.99,0.0901107582607725
495,0.06,0.01,0.06532962565191089
496,0.06,0.02,0.0661280650258284
497,0.06,0.03,0.06724863125930079
498,0.06,0.04,0.06866799296430687
499,0.06,0.05,0.06954589486514355
500,0.06,0.06,0.07038262178465982
501,0.06,0.07,0.07106579183365935
502,0.06,0.08,0.07143597731335802
503,0.06,0.09,0.07033887478720303
504,0.06,0.1,0.06941475549413152
505,0.06,0.11,0.06813038957186286
506,0.06,0.12,0.06696504087188185
507,0.06,0.13,0.06579583968527301
508,0.06,0.14,0.06560579156999417
509,0.06,0.15,0.06615002291831959
510,0.06,0.16,0.0666050452773208
511,0.06,0.17,0.06791817938165798
512,0.06,0.18,0.068623625698801
513,0.06,0.19,0.06883791159185473
514,0.06,0.2,0.06822238258919644
515,0.06,0.21,0.0694002025712551
516,0.06,0.22,0.07187179195150609
517,0.06,0.23,0.0743580690579857
518,0.06,0.24,0.07840779383340066
519,0.06,0.25,0.08020424266282473
520,0.06,0.26,0.08528291585833911
521,0.06,0.27,0.08307963324993423
522,0.06,0.28,0.08653426921074144
523,0.06,0.29,0.08723679934199112
524,0.06,0.3,0.09134287902315123
525,0.06,0.31,0.08661022285410672
526,0.06,0.32,0.08743664319273003
527,0.06,0.33,0.08901156000825017
528,0.06,0.34,0.0901107582607725
529,0.06,0.35,0.09011075826077246
530,0.06,0.36,0.09011075826077246
531,0.06,0.37,0.09011075826077246
532,0.06,0.38,0.09011075826077246
533,0.06,0.39,0.09011075826077246
534,0.06,0.4,0.09011075826077246
535,0.06,0.41,0.0901107582607725
536,0.06,0.42,0.0901107582607725
537,0.06,0.43,0.0901107582607725
538,0.06,0.44,0.0901107582607725
539,0.06,0.45,0.0901107582607725
540,0.06,0.46,0.0901107582607725
541,0.06,0.47,0.09011075826077246
542,0.06,0.48,0.09011075826077246
543,0.06,0.49,0.09011075826077246
544,0.06,0.5,0.09011075826077246
545,0.06,0.51,0.09011075826077246
546,0.06,0.52,0.09011075826077246
547,0.06,0.53,0.09011075826077246
548,0.06,0.54,0.09011075826077246
549,0.06,0.55,0.09011075826077246
550,0.06,0.56,0.09011075826077246
551,0.06,0.57,0.09011075826077246
552,0.06,0.58,0.09011075826077246
553,0.06,0.59,0.09011075826077246
554,0.06,0.6,0.09011075826077246
555,0.06,0.61,0.09011075826077246
556,0.06,0.62,0.09011075826077246
557,0.06,0.63,0.09011075826077246
558,0.06,0.64,0.09011075826077246
559,0.06,0.65,0.09011075826077246
560,0.06,0.66,0.09011075826077246
561,0.06,0.67,0.09011075826077246
562,0.06,0.68,0.09011075826077246
563,0.06,0.69,0.09011075826077246
564,0.06,0.7,0.09011075826077246
565,0.06,0.71,0.09011075826077246
566,0.06,0.72,0.09011075826077246
567,0.06,0.73,0.09011075826077246
568,0.06,0.74,0.09011075826077246
569,0.06,0.75,0.09011075826077246
570,0.06,0.76,0.09011075826077246
571,0.06,0.77,0.09011075826077246
572,0.06,0.78,0.09011075826077246
573,0.06,0.79,0.09011075826077246
574,0.06,0.8,0.09011075826077246
575,0.06,0.81,0.09011075826077246
576,0.06,0.82,0.09011075826077246
577,0.06,0.83,0.09011075826077246
578,0.06,0.84,0.09011075826077246
579,0.06,0.85,0.09011075826077246
580,0.06,0.86,0.09011075826077246
581,0.06,0.87,0.09011075826077246
582,0.06,0.88,0.09011075826077246
583,0.06,0.89,0.09011075826077246
584,0.06,0.9,0.09011075826077246
585,0.06,0.91,0.09011075826077246
586,0.06,0.92,0.09011075826077246
587,0.06,0.93,0.09011075826077246
588,0.06,0.94,0.0901107582607725
589,0.06,0.95,0.0901107582607725
590,0.06,0.96,0.0901107582607725
591,0.06,0.97,0.0901107582607725
592,0.06,0.98,0.0901107582607725
593,0.06,0.99,0.0901107582607725
594,0.07,0.01,0.06524000457088668
595,0.07,0.02,0.06607157955086948
596,0.07,0.03,0.06722074544677717
597,0.07,0.04,0.06850211648967983
598,0.07,0.05,0.0695448127308453
599,0.07,0.06,0.07032190519865929
600,0.07,0.07,0.07096314345439185
601,0.07,0.08,0.07140678721024846
602,0.07,0.09,0.07029946336256963
603,0.07,0.1,0.0693393344906383
604,0.07,0.11,0.06801245852179315
605,0.07,0.12,0.06683552168856825
606,0.07,0.13,0.06581214001325832
607,0.07,0.14,0.06555562781750794
608,0.07,0.15,0.06610859198026062
609,0.07,0.16,0.06645487968939606
610,0.07,0.17,0.06757864229647854
611,0.07,0.18,0.06846071496111401
612,0.07,0.19,0.06898059171966084
613,0.07,0.2,0.06834497128794907
614,0.07,0.21,0.06968301667844538
615,0.07,0.22,0.07198773133221133
616,0.07,0.23,0.07462875499891544
617,0.07,0.24,0.07869554364161943
618,0.07,0.25,0.08030213055507288
619,0.07,0.26,0.08560269664197502
620,0.07,0.27,0.08372387020977798
621,0.07,0.28,0.08860718348740951
622,0.07,0.29,0.08936656730176644
623,0.07,0.3,0.09115468703555299
624,0.07,0.31,0.08661022285410672
625,0.07,0.32,0.08743664319273003
626,0.07,0.33,0.08901156000825017
627,0.07,0.34,0.0901107582607725
628,0.07,0.35,0.09011075826077246
629,0.07,0.36,0.09011075826077246
630,0.07,0.37,0.09011075826077246
631,0.07,0.38,0.09011075826077246
632,0.07,0.39,0.09011075826077246
633,0.07,0.4,0.09011075826077246
634,0.07,0.41,0.0901107582607725
635,0.07,0.42,0.0901107582607725
636,0.07,0.43,0.0901107582607725
637,0.07,0.44,0.0901107582607725
638,0.07,0.45,0.0901107582607725
639,0.07,0.46,0.0901107582607725
640,0.07,0.47,0.09011075826077246
641,0.07,0.48,0.09011075826077246
642,0.07,0.49,0.09011075826077246
643,0.07,0.5,0.09011075826077246
644,0.07,0.51,0.09011075826077246
645,0.07,0.52,0.09011075826077246
646,0.07,0.53,0.09011075826077246
647,0.07,0.54,0.09011075826077246
648,0.07,0.55,0.09011075826077246
649,0.07,0.56,0.09011075826077246
650,0.07,0.57,0.09011075826077246
651,0.07,0.58,0.09011075826077246
652,0.07,0.59,0.09011075826077246
653,0.07,0.6,0.09011075826077246
654,0.07,0.61,0.09011075826077246
655,0.07,0.62,0.09011075826077246
656,0.07,0.63,0.09011075826077246
657,0.07,0.64,0.09011075826077246
658,0.07,0.65,0.09011075826077246
659,0.07,0.66,0.09011075826077246
660,0.07,0.67,0.09011075826077246
661,0.07,0.68,0.09011075826077246
662,0.07,0.69,0.09011075826077246
663,0.07,0.7,0.09011075826077246
664,0.07,0.71,0.09011075826077246
665,0.07,0.72,0.09011075826077246
666,0.07,0.73,0.09011075826077246
667,0.07,0.74,0.09011075826077246
668,0.07,0.75,0.09011075826077246
669,0.07,0.76,0.09011075826077246
670,0.07,0.77,0.09011075826077246
671,0.07,0.78,0.09011075826077246
672,0.07,0.79,0.09011075826077246
673,0.07,0.8,0.09011075826077246
674,0.07,0.81,0.09011075826077246
675,0.07,0.82,0.09011075826077246
676,0.07,0.83,0.09011075826077246
677,0.07,0.84,0.09011075826077246
678,0.07,0.85,0.09011075826077246
679,0.07,0.86,0.09011075826077246
680,0.07,0.87,0.09011075826077246
681,0.07,0.88,0.09011075826077246
682,0.07,0.89,0.09011075826077246
683,0.07,0.9,0.09011075826077246
684,0.07,0.91,0.09011075826077246
685,0.07,0.92,0.09011075826077246
686,0.07,0.93,0.09011075826077246
687,0.07,0.94,0.0901107582607725
688,0.07,0.95,0.0901107582607725
689,0.07,0.96,0.0901107582607725
690,0.07,0.97,0.0901107582607725
691,0.07,0.98,0.0901107582607725
692,0.07,0.99,0.0901107582607725
693,0.08,0.01,0.06515994062173566
694,0.08,0.02,0.0660022062234615
695,0.08,0.03,0.06722205700345361
696,0.08,0.04,0.06842796012094675
697,0.08,0.05,0.06941607212099492
698,0.08,0.06,0.07018037759265423
699,0.08,0.07,0.07085441576755099
700,0.08,0.08,0.0713354855927183
701,0.08,0.09,0.07026952500284056
702,0.08,0.1,0.06928694646890084
703,0.08,0.11,0.06799677599852276
704,0.08,0.12,0.06675595459680653
705,0.08,0.13,0.06580144128996077
706,0.08,0.14,0.06560889363132294
707,0.08,0.15,0.06610075715121917
708,0.08,0.16,0.06639894123419407
709,0.08,0.17,0.06723246595965765
710,0.08,0.18,0.06832862803691221
711,0.08,0.19,0.06898155636268748
712,0.08,0.2,0.06837785694201644
713,0.08,0.21,0.06995299778831289
714,0.08,0.22,0.07216892899249235
715,0.08,0.23,0.07472375640576571
716,0.08,0.24,0.0789911552434645
717,0.08,0.25,0.08029628786417588
718,0.08,0.26,0.08498859773193425
719,0.08,0.27,0.08394961722905361
720,0.08,0.28,0.08955481525801723
721,0.08,0.29,0.09152120029004618
722,0.08,0.3,0.09083127183414756
723,0.08,0.31,0.08661022285410672
724,0.08,0.32,0.08743664319273003
725,0.08,0.33,0.08901156000825017
726,0.08,0.34,0.0901107582607725
727,0.08,0.35,0.09011075826077246
728,0.08,0.36,0.09011075826077246
729,0.08,0.37,0.09011075826077246
730,0.08,0.38,0.09011075826077246
731,0.08,0.39,0.09011075826077246
732,0.08,0.4,0.09011075826077246
733,0.08,0.41,0.0901107582607725
734,0.08,0.42,0.0901107582607725
